long	lat	troops	direction	group
-0.676161574	39.64763614	94000	A	1
0.338052353	40.94399641	80000	A	1
1.101735414	41.3905668	80000	A	1
2.548408589	41.92210682	80000	A	1
2.606112184	42.38994098	60000	A	1
2.961286635	43.16918582	60000	A	1
4.164548883	43.85777853	60000	A	1
4.815157279	44.08537996	5000	A	2
4.748488617	44.14483483	5000	A	2
4.814834005	44.18494078	5000	A	2
4.874298464	44.11731784	60000	A	1
4.849407035	44.88232671	60000	A	1
5.156055349	45.16273847	60000	A	1
5.428715373	45.3547303	46000	A	1
5.810708838	45.55816243	46000	A	1
6.076813572	45.51894466	46000	A	1
6.270814454	45.5752309	46000	A	1
6.297164209	45.49124289	46000	A	1
6.295054701	45.33197546	46000	A	1
6.463222822	45.22235584	46000	A	1
6.622422385	45.20230529	46000	A	1
6.764247683	45.23790186	46000	A	1
6.915565135	45.2307512	46000	A	1
7.044242925	45.13402917	26000	A	1
7.369387354	45.11205997	26000	A	1
7.672589249	45.01876775	26000	A	1
7.794871577	45.04873106	26000	A	1
